alcaldia,title,price,location,description,bedrooms,bathrooms,area
Álvaro Obregón,Casa en Venta en Las Águilas,16500000.0,"Las Águilas, Álvaro Obregón, Ciudad de México","Excelente casa a la venta en una de las mejores calles de Las Aguilas parte baja. Cuenta con 500m2 de terreno, 363m2 habitables distribuidos en: 
3 recámaras con vestidor y baño completo 
1 sala de juego amplia  (opción a 4ta recámara) 
Biblioteca
Cocina con ante comedor
Amplio comedor 
Amplia sala 
Aérea de lavado
Cuarto de servicio
Estacionamiento para 3 coches. EasyBroker ID: EB-NM7874",3.0,3.0,363.0
Álvaro Obregón,Casa en Venta en Jardines del Pedregal,64918000.0,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México","Hermosa residencia con excelente ubicación y grandes posibilidades de adecuar para una, dos o hasta tres propiedades. 
La casa consta de 1,972m2 de terreno y 2,102m2 de construcción. Actualmente la propiedad esta dividida en dos residencias. 
La primera consta de:
Biblioteca
dos salas
comedor y antecomedor
Cocina
dos recámaras con baño y vestidor cada una. 
Cuarto de servicio
Area de lavado
Terraza
Jardín
Estacionamiento para 5 coches 


La segunda:
Biblioteca
Sala
Comedor
Cocina con ante comedor
Cuarto de TV
3 recámaras con baño completo y vestidor 
Estacionamiento para 4 coches
Cuarto de servicio
Area de lavado
Estacionamiento 4 coches 

Existe la opción de adecuarla a ser una sola propiedad. EasyBroker ID: EB-QO7854",5.0,5.0,2102.0
Álvaro Obregón,Casa en Condominio en Venta en Las Aguilas 1a Sección,14990000.0,"Las Aguilas 1a Sección, Álvaro Obregón, Ciudad de México","Hermosa townhouse con acabados de lujo a la venta en parte baja de Las Aguilas. Ubicada en calle cerrada dentro de un condominio de 6 casas con s doble seguridad 24/7.
La casa cuenta con:
160 m2 de terreno
408m2 de construcción 
3 recámaras con baño y 2 de ellas con vestidor 
Sala
Comedor
Baño de visitas 
Cocina 
Family room 
Salón de usos múltiples
Área de lavado 
2 cuartos de servicio
2 Jardines  pequeños con pasto sintético
 
** Cuenta con Paneles solares 
**Puerta de seguridad blindada para acceso a recámaras. EasyBroker ID: EB-LG5945",3.0,3.0,450.0
Álvaro Obregón,Casa en Condominio en Venta en Jardines del Pedregal,39960000.0,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México","Espectacular casa en excelente estado, ubicada en una de las mejores zonas del sur de la CDMX. 
La propiedad consta de 938m2 de terreno y 635m2 de construcción distribuidos en:
4 recámaras con vestidor y baño completo 
Sala de TV 
1 medio baño
Sala 
Comedor
Cocina
Antecomedor
Bar
Oficina
Terraza con Jardín 
Cuarto de servicio
Area de lavado
6 lugares de estacionamiento
Paneles solares 

***Dentro de calle cerrada. EasyBroker ID: EB-QR0370",4.0,4.0,635.0
Álvaro Obregón,Casa en Venta en Jardines del Pedregal,21588000.0,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México","Excelente residencia a la venta en Av de las Fuentes, Jardines del Pedregal. 
La propiedad cuenta con 745m2 de terreno y 773m2 de construcción distribuidos en:
4 recámaras con baño propio, la principal con dos baños y dos vestidores. 
Sala
Comedor
Biblioteca
Salón familiar
Baño de visitas
Cocina
Ante comedor
Área de lavado
Estacionamiento para 4 coches
Opción a cuarto de servicio en una de las 4 recámaras.
Terraza en PA
Jardín. EasyBroker ID: EB-QO7776",4.0,4.0,773.0
Álvaro Obregón,Departamento en Venta en Santa Fe,7800000.0,"Santa Fe, Álvaro Obregón, Ciudad de México","Aprovecha esta oportunidad. Departamento en excelente estado de conservación, en uno de los residenciales de mejor ubicación en Santa Fe, CDMX. Este departamento de 155m2 con funcional distribución, cuenta con 3 recámaras, sala, comedor, área de family, 2 baños completos, cuarto de lavado y cuarto de servicio con baños. El residencial además de tener vigilancia y seguridad las 24 horas, cuenta con áreas comunes con amenidades como salón de fiestas, alberca, cancha de tenis, zona de asadores, cancha de futbol y basquetbol, ludoteca, terraza para eventos, gimnasio y salón de adultos. Además, el departamento tiene 2 lugares de estacionamiento. .Aprovecha esta oportunidad de vivir cerca de las zonas comerciales y corporativos de Santa Fe...El precio de venta no incluye muebles ni decoración. Los muebles y la decoración que aparecen en las fotos son para efectos de promoción del inmueble. EL precio de venta no incluye gastos de escrituración ni impuestos por traslado de dominio que deberán ser pagados por el comprador al momento de firmar la escritura ante notario público. Los gastos por la obtención de créditos para la adquisición del inmueble son adicionales y serán acordados y negociados entre el comprador y la institución de crédito correspondiente.",3.0,2.0,155.0
Álvaro Obregón,Departamento en Venta en Cuevitas,3500000.0,"Cuevitas, Álvaro Obregón, Ciudad de México","Funcional departamento a 10 minutos de la zona de corporativos de Santa Fe. cuenta con dos recámaras, la principal con su propio baño. Adicionalmente tiene un área de tv que podría convertirse en la tercera recámara en caso de requerirse y compartir baño con la otra recámara. La distribución del departamento es amena, ya que tiene un pequeño recibidor que distribuye hacia la estancia y cocina, hacia el área de TV y hacia las recámaras. La cocina es abierta y se conecta con la estancia a través de una cómoda barra que puede funcionar como desayunador. El área de lavado es adicional al área de cocina. El departamento tiene vista posterior hacia zona arbolada federal. Cuenta con dos lugares de estacionamiento, elevador y seguridad 24/7. El precio de renta es con muebles; el precio de venta es sin muebles. ..Los gastos adicionales como costo de póliza jurídica en caso de renta, o costo de escrituración, impuestos por adquisición de inmuebles, gastos notariales y gastos por apertura y obtención de crédito hipotecario son a cargo del comprador.",2.0,2.0,100.0
Álvaro Obregón,Casa en Venta en Paseo de las Lomas,17850000.0,"Paseo de las Lomas, Álvaro Obregón, Ciudad de México","En excelente ubicación, en la zona de Corporativos de Santa Fe, CDMX, aprovecha la oportunidad de adquirir y prácticamente estrenar esta casa, en una privada con doble seguridad, en donde podrás disfrutar de esta tranquilidad y al mismo tiempo de la cercanía con oficinas, centros comerciales, escuelas, hospitales. La casa prácticamente no ha sido habitada y está con excelente estado de conservación, lista para habitarla. En el nivel de acceso están los tres lugares de estacionamiento y el acceso a las áreas sociales de la casa; sala , comedor, cocina integral abierta, desde donde podrás subir al roof garden o bien descender al nivel inferior en donde encontrarás tres recámaras, las dos secundarias compartiendo baño y la recámara principal con su propio baño. Y descendiendo al planta inferior encontrarás la oficina con su propio baño que podría funcionar como recámara de visitas; de igual manera encontrarás el área de fiestas con salida al jardín de 70 metros. Dentro del fraccionamiento que se encuentra la casa existe un parque ideal para disfrutar las áreas verdes. Ven a conocer tu nuevo hogar!!!!! llámanos!!..Las fotos son ilustrativas - La casa se vende Sin muebles y Sin decoración. El precio de la casa No incluye gastos de escrituración, impuestos por adquisición, avalúos, cuotas de comisión por apertura ni ningún gastos adicional extra.",3.0,3.0,303.0
Álvaro Obregón,Casa en Venta en Colina del Sur,4950000.0,"Colina del Sur, Álvaro Obregón, Ciudad de México","¡Bienvenido a esta casa en la tranquila colonia Colina del Sur! Esta espectacular casa de 360m² distribuida en 3 pisos te ofrece un estilo de vida exclusivo y seguro.

Ubicada en una calle privada con seguridad las 24 horas y sistema de circuito cerrado de televisión (CCTV), tu paz y tranquilidad están garantizadas. Además, disfrutarás de la comodidad de un estacionamiento para 3 autos.

El interior de esta residencia cuenta con 5 amplias habitaciones y 4 baños y medio y cocina integral.

La casa destaca por su diseño de área común abierta, brindándote un ambiente acogedor con una chimenea para compartir momentos especiales con tus seres queridos. Además, el salón de fiestas con área de bar es ideal para celebraciones inolvidables.

Si eres amante de la naturaleza, te encantará la vista panorámica al bosque que ofrece esta casa. Además, el jardín privado te invita a crear tus propios espacios verdes para disfrutar en familia.

La casa también cuenta con un práctico patio de servicio y clósets de almacenamiento para satisfacer todas tus necesidades de organización. Cada rincón ha sido diseñado pensando en ofrecerte una experiencia de vida única.

Muy cerca de Portal Centenario, supermercados y fácil acceso a calles principales.

Esta es tu oportunidad de vivir en un lugar donde la seguridad, el confort y la naturaleza se fusionan para crear un hogar inigualable. ¡No pierdas la oportunidad de hacer tuya esta joya en Colina del Sur!

 ¡Contáctanos ahora y descubre el inicio de tu nueva vida!",5.0,4.0,360.0
Álvaro Obregón,Departamento en Venta en Olivar de los Padres,3500000.0,"Olivar de los Padres, Álvaro Obregón, Ciudad de México","Excelente departamento ubicado en una de las mejores zonas de la ciudad
Propiedad nueva, nunca habitada y lista para estrenarse y con acceso a las vías que interconecta a la supervia pte.

•Supconstrucción:80 m2
•Recamaras:2
•Bañoscompletos2
•Con closet
•Sala
•Comedor
•Cuarto de servicio
•Cocina equipada
•Lavandería
•Terraza perimetral
•Piso laminado
•Elevador principal
•Elevador de servicio
•Estacionamientos: 2
•Alberca techada
•Terraza panorámica
•Salón spinning
•Salón de eventos
•Salón de niños
•Salón de juegos
•Zona de jardines
•Sauna y vestidores
•Gimnasio",2.0,2.0,79.0
Álvaro Obregón,Casa en Condominio en Venta en Jardines del Pedregal,65900000.0,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México","HERMOSA CASA EN PRIVADA DE SÓLO 5 CASAS EN  JARDINES DEL PEDREGAL

VENTA: $65,900,000 MXN

1,100 m2 de terreno
980 m2 de construcción
3 recámaras con baño completo y vestidor
2 estudios
2 familys
3 baños sociales, 1 en el jardín
Entrada independiente al jardín
Cocina equipada 
Antecomedor
Cuarto de Chofer para 2 personas
Cuarto de Servicio para 4 personas
12 estacionamientos
Circuito cerrado de seguridad adentro y afuera de la casa
Sistema inteligente integrado
Instalación calefacción hidropónica
Ubicada dentro de condominio con seguridad privada y 5 casas
$9,500 pesos de mantenimiento

CLAVE: LS-LAUCAR
STAHL REAL ESTATE 

El precio no incluye gastos de avalúos ni notariales para escrituración.

Contáctanos, estamos para ayudarte a encontrar tú hogar ideal !. EasyBroker ID: EB-QQ9443",3.0,3.0,980.0
Álvaro Obregón,Departamento en Venta en Paseo de las Lomas,6350000.0,"Paseo de las Lomas, Álvaro Obregón, Ciudad de México","Hermoso departamento con terraza semi amueblado, el departamento tiene excelente iluminación natural, el desarrollo tiene unas amenidades muy lindas, cómo: alberca, gym, salón de eventos, ludoteca, área de asadores, actividades para niños, cine y mucho más ! 

VENTA $6,350,000 MXN 
115 M2 habitables más terraza, total 120 M2 
3 recámaras
2.5 baños
2 estacionamientos 

El departamento actualmente está rentado por lo que es una buena oportunidad de inversión, el contrato vence en noviembre de éste año 2024.

El costo del departamento no incluye avalúos ni gastos notariales por escrituración.

Contáctanos, estamos para ayudarte a encontrar tú hogar ideal ! 

Vivanti Inmobiliaria. EasyBroker ID: EB-QS4243",3.0,2.0,120.0
Álvaro Obregón,Departamento en Venta en Tizapan,8999000.0,"Tizapan, Álvaro Obregón, Ciudad de México","Disfruta de un  amplio departamento con roof garden privado con el que podrás disfrutar de hermosas vistas panorámicas de la ciudad. Ubicado al sur de la Ciudad de México, con las mejores vías de acceso. A pocos metros de supermercados como City Market, Chedraui Select, restaurantes, Plaza Escenaria, Periférico, Pedregal, Insurgentes, CU, Eje 10 sur... 

140 m2 habitables + 140 m2 de Roof Garden 

El edificio consta con tan solo 27 departamentos en una torre de 11 niveles. Con vigilancia 24hrs  (Torre San Ángel)

El departamento consta de estancia, terraza, cocina integral, dormitorio principal con vestidor y baño completo. Dormitorio secundario con closet y baño completo, 3 Estacionamientos y bodega 

Amenidades: Área común con Jardín, Gimnasio, Salón de usos múltiples con terraza y asador. 2 elevadores 

No pierdas la oportunidad de vivir en este increíble departamento con todas estas comodidades. ¡Llámanos ahora para programar una visita!

*El precio NO incluye: impuestos, gastos notariales, derechos, honorarios, costos de tasas de interés y/o gastos en caso de financiamiento; ni mobiliario, ni artículos decorativos, y/o electrodomésticos. Precio sujeto a cambio sin previo aviso. EasyBroker ID: EB-PH4093",2.0,2.0,140.0
Álvaro Obregón,Casa en Condominio en Venta en Jardines del Pedregal,48000000.0,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México","Increíble casa en condominio ubicada en calle cerrada

Planta baja: Cuenta con un amplio recibidor con doble altura, despacho muy agradable con libreros empotrados, ventanas grandes que hacen que penetre mucho luz natural, techos altos, sala muy amplia con chimenea que ambienta el espacio y conecta también con área del comedor, amplio bar con cantina y cava que  conecta con el jardín el cuál tiene un área de asadores por  lo tanto lo hace mas agradable y acogedor, cuenta con un espacio de antecomedor y cocina integral muy amplia y equipada, dos cuartos de despensa y escaleras que llevan a los cuartos de servicio.    

Segundo nivel: amplia sala de tv, 5 recamaras, la principal cuenta con un doble vestidor, caja de seguridad, baño completo doble con vapor y regaderas. Tres recamaras con  baño y vestidores y una recamara de visita con baño y closet. 

La casa cuenta con un elevador que conecta con los tres niveles

 En el sótano encontramos  cuartos de servicio, cuarto de lavandería, bodega y cuarto de choferes, justo en ese nivel se encuentra el garaje techado para 9 autos, ahí mismo encontraremos un pasillo que nos lleva directamente al jardín posterior de la casa.

*El precio NO incluye: impuestos, gastos notariales, derechos, honorarios, costos de tasas de interés y/o gastos en caso de financiamiento; ni mobiliario, ni artículos decorativos, y/o electrodomésticos. Precio sujeto a cambio sin previo aviso. EasyBroker ID: EB-NA5277",5.0,5.0,1195.0
Álvaro Obregón,Casa en Venta en Jardines del Pedregal,54800000.0,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México","Residencian totalmente nueva en la exclusiva calle cerrada de Jardines del Pedregal, con seguridad 24/7

Planta baja: Gran recibidor, oficina, cocina con alacena grande vistas verdes y mucha ventilación, sala comedor, salón de juegos, todo con vista y salida al jardín. 

Planta alta: Family room, 3 recamaras: 2 con walk in closet y baño y la principal con vestidor  y baño, todas las recamaras con balcón y vistas verdes, closet de blancos de buen tamaño.

Baño de visitas interior y exterior, 2 cuartos de servicio cada uno con baño, lavandería, 8 estacionamientos,  caseta de vigilancia, bodega y cuarto de maquinas, accesos sociales y de servicio a la casa, doble puerta de acceso con seguridad.

*El precio NO incluye: impuestos, gastos notariales, derechos, honorarios, costos de tasas de interés y/o gastos en caso de financiamiento; ni mobiliario, ni artículos decorativos, y/o electrodomésticos. Precio sujeto a cambio sin previo aviso. EasyBroker ID: EB-LQ2255",3.0,3.0,650.0
Álvaro Obregón,Casa en Venta en Jardines del Pedregal,38000000.0,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México","Residencia con gran potencial, impecable y exclusiva. En la que tendrás un lindo jardín, casita del árbol, área de terraza con asador y comedor exterior.

No pierdas la oportunidad de vivir en está increíble casa con todas estas comodidades. ¡Llámanos ahora para programar una visita!

Al entrar tenemos el recibidor que nos lleva a una estancia muy amplia, con vista al jardín, comedor con cocina muy funcional equipada con 3 hornos y cafetera para preparar diferentes tipos de café. Despensa con espacios visibles y puertas de cristal, 1/2 baño , sala de televisión con muebles empotrados para pantalla y closet de blancos, un pequeño pasillo para bodega, cuarto de limpieza, cuarto de servicio. 

4 recámaras, la principal con 2 terrazas con vista al jardín y entrada principal, vestidor, baño y con conexión a la recámara 2 y 3 que se encuentra adaptada en una, la cuarta actualmente esta adaptada a salón de juego de niños, con detalles de muros acolchonados y terraza y baño completo y vestidor. 

En un piso arriba hay un cuarto que puede ser de usos múltiples, con acceso a la azotea. 

Garage para 4 autos con puertas eléctricas y closet. 

Portón blindado

Sistema de luces inteligentes en la sala 

*El precio NO incluye: impuestos, gastos notariales, derechos, honorarios, costos de tasas de interés y/o gastos en caso de financiamiento; ni mobiliario, ni artículos decorativos, y/o electrodomésticos.Precio sujeto a cambio sin previo aviso. EasyBroker ID: EB-PN3966",4.0,4.0,596.0
Álvaro Obregón,Casa en Venta en San Angel Inn,11900000.0,"San Angel Inn, Álvaro Obregón, Ciudad de México","Casa en San Ángel  muy bien ubicada a tan solo 200 mts de Periférico. Cerca del restaurante San Ángel Inn y del museo Frida Kahlo.

Ideal  para actualizar o modernizar las áreas de la casa.

Construida en 2 niveles: Sala comedor, cocina, 3 recámaras, la principal con baño completo vestidor y terraza, la segunda y tercera comparten baño, cada una con clóset y una pequeña terraza. Cuarto de servicio y área de lavado. 

2 lugares de estacionamiento dentro de la propiedad 

 ¡Llámanos ahora para programar una visita!

*El precio NO incluye: impuestos, gastos notariales, derechos, honorarios, costos de tasas de interés y/o gastos en caso de financiamiento; ni mobiliario, ni artículos decorativos, y/o electrodomésticos. Precio sujeto a cambio sin previo aviso. EasyBroker ID: EB-MY5150",3.0,3.0,292.0
Álvaro Obregón,Casa en Venta en Jardines del Pedregal,38900000.0,"Jardines del Pedregal, Álvaro Obregón, Ciudad de México","Disfruta de privacidad y seguridad en esta gran residencia en calle cerrada de Jardines del Pedregal.

Planta baja: gran recibidor, amplia sala y estancia con doble altura, cocina equipada con espacio para desayunador y cuarto de alacena, escaleras que comunican con los cuartos de servicio. Dos amplias recamaras con vista al jardín con baños completos y vestidores amplios, un cuarto de lavandería que se puede adaptar a una tercera recamara si así se requiere. 

Segundo nivel:  encontraras la recamara principal que es muy amplia y con un gran vestidor para dama y caballero, con su baño completo regadera y jacuzzi.

Terraza que conecta con un estudio acogedor y un salón de usos múltiples  con gran potencial de ser usado para lo que desees.  El jardín es muy amplio y cuenta con una espectacular cancha de tenis y área de asadores. 

Estacionamiento cubierto para 8 autos, cuartos para choferes y caseta de vigilancia propia.

No pierdas la oportunidad de vivir en está increíble casa con todas estas comodidades. ¡Llámanos ahora para programar una visita!

*El precio NO incluye: impuestos, gastos notariales, derechos, honorarios, costos de tasas de interés y/o gastos en caso de financiamiento; ni mobiliario, ni artículos decorativos, y/o electrodomésticos. Precio sujeto a cambio sin previo aviso. EasyBroker ID: EB-NB7342",4.0,4.0,800.0
